"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.855482375E0;1.392512619E-1;3.668467700E-1;1.135853752E-1
1.865492375E0;-1.046069264E-1;2.174218595E-1;1.051791087E-1
1.875502375E0;-2.740781307E-1;-1.737816632E-2;4.227761552E-2
1.885481375E0;-3.383380771E-1;-2.092781067E-1;2.816759050E-3
1.895491375E0;-3.230210543E-1;-3.526161015E-1;1.016737428E-2
1.905501375E0;-1.430997699E-1;-4.656126797E-1;5.164158344E-2
1.915510375E0;1.445716321E-1;-4.997474551E-1;1.636062860E-1
1.925490375E0;3.319974542E-1;-4.162445664E-1;3.318110108E-1
1.935499375E0;2.964670956E-1;-3.155030310E-1;4.024283886E-1
1.945509375E0;8.472596295E-3;-2.745963633E-1;3.169966042E-1
1.955519375E0;-3.353218138E-1;-3.896792829E-1;1.257190853E-1
1.965529375E0;-5.364162922E-1;-4.580695033E-1;-6.249662489E-2
1.975508375E0;-3.668243885E-1;-9.172913432E-2;-2.066107243E-1
1.985518375E0;2.547883093E-1;3.957731426E-1;-1.591803581E-1
1.995527375E0;8.921713829E-1;4.968086779E-1;-3.706776351E-2
2.005537375E0;1.119696736E0;-6.080104411E-2;3.012208045E-1
2.015516375E0;8.813915849E-1;-7.353071570E-1;5.508720279E-1
2.025526375E0;5.653822422E-1;-7.046762705E-1;4.648311734E-1
2.035536375E0;3.571236730E-1;-4.984054267E-1;2.250158191E-1
2.045546375E0;1.785595268E-1;-4.958275259E-1;-4.806986079E-3
2.055525375E0;-1.685455814E-2;-7.672756314E-1;-2.021563500E-1
2.065535375E0;-1.017124578E-1;-1.124708891E0;-2.686549425E-1
2.075545375E0;4.794179276E-2;-1.120340466E0;-2.214889675E-1
2.085554375E0;3.768267334E-1;-6.523692608E-1;-1.826651394E-1
2.095534375E0;7.289575934E-1;1.652976731E-3;-2.133890390E-1
2.105543375E0;9.137189388E-1;4.436759353E-1;-3.362076283E-1
2.115553375E0;8.954757452E-1;5.168232918E-1;-5.348665118E-1
2.125563375E0;7.136707902E-1;2.466069907E-1;-7.201684713E-1
2.135542375E0;4.616874158E-1;-9.485425800E-2;-8.713167310E-1
2.145552375E0;2.572267056E-1;-2.243693769E-1;-9.464146495E-1
2.155562375E0;2.134323418E-1;1.762860641E-2;-9.330767393E-1
2.165571375E0;3.751328290E-1;4.877960980E-1;-8.301969767E-1
2.175581375E0;6.156896353E-1;1.021816254E0;-6.727436185E-1
2.185560375E0;8.113611341E-1;1.432548046E0;-5.658003688E-1
2.195570375E0;8.547130227E-1;1.559348822E0;-4.843522012E-1
2.205580375E0;7.107249498E-1;1.409449339E0;-4.479995370E-1
2.215590375E0;4.736247063E-1;1.196331501E0;-4.259545803E-1
2.225569375E0;2.683053613E-1;1.114558697E0;-3.553579152E-1
2.235579375E0;1.568076760E-1;1.209347844E0;-2.868206203E-1
2.245588375E0;1.428923905E-1;1.258747339E0;-2.403708100E-1
2.255598375E0;2.353509665E-1;1.133446097E0;-1.538796425E-1
2.265577375E0;4.310302138E-1;1.042970061E0;-8.236099780E-2
2.275587375E0;6.346518993E-1;1.047631145E0;-7.566897571E-2
2.285597375E0;7.285770774E-1;9.465558529E-1;-1.122498885E-1
2.295607375E0;7.319674492E-1;7.977515459E-1;-1.984006613E-1
2.305586375E0;7.224208117E-1;7.697337866E-1;-2.308667302E-1
2.315596375E0;6.556943655E-1;8.501102328E-1;-1.973557621E-1
2.325606375E0;5.181024075E-1;8.654926419E-1;-8.546864986E-2
2.335615375E0;3.405885398E-1;8.208671808E-1;4.542042688E-2
2.345595375E0;2.510088682E-1;7.368609309E-1;2.056135535E-1
2.355604375E0;3.067526221E-1;8.096372485E-1;3.386886418E-1
2.365614375E0;4.685119689E-1;1.009240389E0;3.944461942E-1
2.375624375E0;6.706132293E-1;1.126597047E0;4.073936045E-1
2.385634375E0;8.351321816E-1;1.081636786E0;4.363139272E-1
2.395613375E0;9.217225313E-1;9.613877535E-1;4.593341947E-1
2.405623375E0;9.165259004E-1;9.124452472E-1;5.465309024E-1
2.415632375E0;8.817682862E-1;1.066761374E0;7.502704859E-1
2.425642375E0;8.596901298E-1;1.431211233E0;1.024212360E0
2.435621375E0;8.011233211E-1;1.904437065E0;1.194657207E0
2.445631375E0;6.732642055E-1;2.193787575E0;1.238936543E0
2.455641375E0;4.804389477E-1;2.221304417E0;1.153974533E0
2.465651375E0;2.741802931E-1;2.010622501E0;9.351212382E-1
2.475630375E0;1.508814394E-1;1.599613190E0;6.429128647E-1
2.485658625E0;1.959647685E-1;1.293956637E0;3.896132112E-1
2.495668625E0;3.821930289E-1;1.262290835E0;2.267231196E-1
2.505677625E0;5.957817435E-1;1.417955279E0;2.128512412E-1
2.515657625E0;7.543245554E-1;1.668372869E0;2.998127639E-1
2.525666625E0;8.141359091E-1;1.993048429E0;4.681045711E-1
2.535676625E0;7.710156441E-1;2.284157038E0;6.376376152E-1
2.545686625E0;6.143741012E-1;2.402284145E0;7.197538018E-1
2.555665625E0;3.986874521E-1;2.312154770E0;6.899819374E-1
2.565675625E0;2.240168452E-1;2.185327053E0;4.846479595E-1
2.575685625E0;1.522825360E-1;2.005172491E0;1.926226616E-1
2.585694625E0;1.795580983E-1;1.888568640E0;-8.257456124E-2
2.595674625E0;2.518237233E-1;1.822483301E0;-2.451699376E-1
2.605683625E0;2.801661491E-1;1.830817699E0;-2.522238493E-1
2.615693625E0;2.135293782E-1;1.930002570E0;-1.704599410E-1
2.625703625E0;1.107806340E-1;2.074972391E0;1.181319822E-2
2.635713625E0;-2.739555761E-2;2.307247162E0;1.652858555E-1
2.645692625E0;-1.818711460E-1;2.357898235E0;2.090620995E-1
2.655702625E0;-2.735945284E-1;2.169458151E0;1.767690629E-1
2.665711625E0;-2.439079881E-1;1.966413856E0;5.802963302E-2
2.675721625E0;-1.210468039E-1;1.777745008E0;-5.247275531E-2
2.685700625E0;4.675737768E-2;1.698526859E0;-1.860499978E-1
2.695710625E0;1.950281560E-1;1.562401056E0;-3.207619786E-1
2.705720625E0;3.300810456E-1;1.380560637E0;-4.160376489E-1
2.715730625E0;4.433183074E-1;1.365460157E0;-4.719777107E-1
2.725709625E0;5.334724188E-1;1.396667361E0;-5.071045756E-1
2.735719625E0;5.247264504E-1;1.294102430E0;-5.857778192E-1
2.745729625E0;4.729109406E-1;1.109965086E0;-7.468199730E-1
2.755738625E0;4.079034925E-1;8.252729177E-1;-1.026203632E0
2.765718625E0;3.701268137E-1;4.783831835E-1;-1.314096689E0
2.775727625E0;4.219963849E-1;2.291326970E-1;-1.491907597E0
2.785737625E0;5.784727931E-1;1.896228343E-1;-1.523897529E0
2.795747625E0;7.529063225E-1;2.532548308E-1;-1.381549001E0
2.805726625E0;9.252395034E-1;3.353779316E-1;-1.168992877E0
2.815736625E0;1.064602375E0;4.696631730E-1;-9.348538518E-1
2.825746625E0;1.092383385E0;6.366665363E-1;-6.520147324E-1
2.835755625E0;1.036980748E0;8.154217005E-1;-2.985588610E-1
2.845735625E0;9.831300378E-1;1.105772257E0;1.482713521E-1
2.855744625E0;9.156929255E-1;1.470077276E0;6.259500384E-1
2.865754625E0;8.352894187E-1;1.695421100E0;1.030186772E0
2.875764625E0;7.589038014E-1;1.705280066E0;1.379814625E0
2.885774625E0;7.400209308E-1;1.583038092E0;1.679865837E0
2.895753625E0;7.861593962E-1;1.463311195E0;1.825643301E0
2.905763625E0;8.443627954E-1;1.246754885E0;1.866994143E0
2.915772625E0;8.412755728E-1;1.022302985E0;1.825078249E0
2.925782625E0;7.062269449E-1;8.740128875E-1;1.662399650E0
2.935762625E0;4.687851667E-1;6.790731549E-1;1.572585583E0
2.945771625E0;2.009156346E-1;7.477970719E-1;1.622545123E0
2.955781625E0;-9.043892473E-2;1.052799702E0;1.649404287E0
2.965791625E0;-3.384013474E-1;1.192931414E0;1.776076436E0
2.975770625E0;-4.284610748E-1;1.427775383E0;1.873459101E0
2.985780625E0;-4.873116016E-1;1.496734023E0;1.917517900E0
2.995790625E0;-5.004187822E-1;1.439527273E0;1.942944646E0
3.005799625E0;-6.031305194E-1;1.333755255E0;1.923961163E0
3.015779625E0;-8.390889168E-1;1.102297068E0;1.898321509E0
3.025788625E0;-1.115464807E0;9.391695857E-1;1.920875788E0
3.035798625E0;-1.385041475E0;1.046734571E0;1.892739058E0
3.045808625E0;-1.589014292E0;1.053002834E0;1.882724285E0
3.055787625E0;-1.768620610E0;1.018874288E0;2.033074141E0
3.065797625E0;-1.637039661E0;1.468563199E0;2.183950186E0
3.075807625E0;-1.122015834E0;2.296273470E0;2.396390915E0
3.085816625E0;-1.246351838E0;1.984777927E0;2.190928459E0
3.095796625E0;-1.612135530E0;1.011087179E0;1.912952662E0
3.105805625E0;-1.893368840E0;8.000773937E-2;1.529926658E0
3.115815625E0;-2.161122799E0;-3.208971322E-1;1.349913716E0
3.125825625E0;-2.223840475E0;-1.184716001E-1;1.298989296E0
3.135835625E0;-2.088420868E0;3.143193424E-1;1.431407332E0
3.145814625E0;-1.787506223E0;5.505507588E-1;1.690385103E0
3.155824625E0;-1.539563179E0;7.967955470E-1;2.135843992E0
3.165834625E0;-1.347085595E0;1.210867643E0;2.679844618E0
3.175843625E0;-1.233885765E0;1.304650426E0;3.170759678E0
3.185823625E0;-1.372330785E0;9.079822302E-1;3.415578127E0
3.195832625E0;-1.495468974E0;2.099365294E-1;3.506736279E0
3.205842625E0;-1.380481958E0;-4.274106324E-1;3.456901073E0
3.215852625E0;-1.192330122E0;-6.035378575E-1;3.112483025E0
3.225831625E0;-1.181009054E0;-4.825544357E-1;2.447090387E0
3.235841625E0;-1.346232533E0;-6.073007584E-1;1.719651222E0
3.245851625E0;-1.348232031E0;-9.017475843E-1;1.370112896E0
3.255860625E0;-9.948354959E-1;-7.445718050E-1;1.369835377E0
3.265840625E0;-4.520489573E-1;-9.426758438E-2;1.680184126E0
3.275849625E0;-1.067486592E-2;8.090329766E-1;2.045882702E0
3.285859625E0;4.185917974E-2;1.370061517E0;2.284280777E0
3.295869625E0;-2.548028529E-1;1.266491652E0;2.243207216E0
3.305848625E0;-6.398085952E-1;7.628765106E-1;2.016546965E0
3.315858625E0;-9.261248112E-1;3.975272477E-1;1.567078710E0
3.325868625E0;-1.071494579E0;3.914555013E-1;1.018999934E0
3.335877625E0;-1.153264284E0;4.881979227E-1;6.199167967E-1
3.345887625E0;-1.123672843E0;3.650946319E-1;3.279467225E-1
3.355866625E0;-9.109005928E-1;2.722774446E-1;2.295302898E-1
3.365876625E0;-3.841358721E-1;4.272800982E-1;4.017941952E-1
3.375886625E0;2.697123289E-1;1.137318492E0;9.145198464E-1
3.385896625E0;6.962085366E-1;2.158762932E0;1.330870271E0
3.395875625E0;6.258178949E-1;2.572703362E0;1.536598563E0
3.405885625E0;1.393299848E-1;2.077513456E0;1.422850370E0
3.415895625E0;-4.466443658E-1;1.172373295E0;1.203985214E0
3.425904625E0;-9.005303383E-1;3.039091825E-1;8.470036983E-1
3.435884625E0;-1.135037184E0;-5.887998268E-2;5.143867731E-1
3.445893625E0;-1.146232843E0;-3.180894628E-2;2.288239747E-1
3.455903625E0;-9.712328315E-1;2.380619347E-1;-1.283790357E-2
3.465913625E0;-7.095804811E-1;5.174608231E-1;-2.408550978E-1
